Gene,GCF_000007545,GCF_000020745,GCF_000020885,GCF_000020925,GCF_000022165,GCF_000170215,GCF_000171415,GCF_000171515,GCF_000171535
GEGEGB_04304,peppan_g_3962,peppan_g_7806,peppan_g_12327,peppan_g_16997,peppan_g_21582,peppan_g_26496,peppan_g_27297,peppan_g_31963,peppan_g_39601
GEGEGB_04327,peppan_g_3984,peppan_g_7784,peppan_g_12305,peppan_g_16975,peppan_g_21560,peppan_g_26474,peppan_g_27319,peppan_g_31985,peppan_g_39623
GEGEGB_04329,peppan_g_3986,peppan_g_7782,peppan_g_12303,peppan_g_16973,peppan_g_21558,peppan_g_26472,peppan_g_27191;peppan_g_27196;peppan_g_27321,peppan_g_31987,peppan_g_39625
GEGEGB_04339,peppan_g_3992,peppan_g_8506,peppan_g_13058,peppan_g_17712,peppan_g_22312,peppan_g_22859,peppan_g_28106,peppan_g_33148,peppan_g_38842
GEGEGB_04396,peppan_g_4047,peppan_g_8622,peppan_g_13139,peppan_g_17771,peppan_g_22389,peppan_g_22937,peppan_g_28184,peppan_g_33070,peppan_g_38764
GEGEGB_04407,peppan_g_4057,peppan_g_8632,peppan_g_13149,peppan_g_17781,peppan_g_22399,peppan_g_22947,peppan_g_28194,peppan_g_33060,peppan_g_38754
GEGEGB_04412,peppan_g_4062,peppan_g_8637,peppan_g_13154,peppan_g_17786,peppan_g_22404,peppan_g_22952,peppan_g_28199,peppan_g_33055,peppan_g_38749
GEGEGB_04421,peppan_g_4070,peppan_g_8645,peppan_g_13163,peppan_g_17794,peppan_g_22412,peppan_g_22960,peppan_g_28207,peppan_g_33047,peppan_g_38741
GEGEGB_04432,peppan_g_4079,peppan_g_8654,peppan_g_13174,peppan_g_17803,peppan_g_22421,peppan_g_22969,peppan_g_28216,peppan_g_33038,peppan_g_38732
GEGEGB_04630,peppan_g_4267,peppan_g_8708,peppan_g_13231,peppan_g_17843,peppan_g_22463,peppan_g_23022,peppan_g_28263,peppan_g_32992,peppan_g_38686
GEGEGB_04647,peppan_g_4282,peppan_g_8722,peppan_g_13246,peppan_g_17858,peppan_g_22478,peppan_g_23037,peppan_g_30475,peppan_g_32977,peppan_g_38671
GEGEGB_04685,peppan_g_4320,peppan_g_8759,peppan_g_13283,peppan_g_17896,peppan_g_22514,peppan_g_23073,peppan_g_30437,peppan_g_34041,peppan_g_38635
GEGEGB_04687,peppan_g_4322,peppan_g_8761,peppan_g_13285,peppan_g_17898,peppan_g_22516,peppan_g_23075,peppan_g_30435,peppan_g_34039,peppan_g_38633
GEGEGB_04688,peppan_g_4323,peppan_g_8762,peppan_g_13286,peppan_g_17899,peppan_g_22517,peppan_g_23076,peppan_g_30434,peppan_g_34038,peppan_g_38632
GEGEGB_04689,peppan_g_4324,peppan_g_8763,peppan_g_13287,peppan_g_17900,peppan_g_22518,peppan_g_23077,peppan_g_30433,peppan_g_34037,peppan_g_38631
GEGEGB_04702,peppan_g_4334,peppan_g_8772,peppan_g_13296,peppan_g_17909,peppan_g_22527,peppan_g_23086,peppan_g_30424,peppan_g_34028,peppan_g_38622
GEGEGB_04703,peppan_g_4335,peppan_g_8773,peppan_g_13297,peppan_g_17910,peppan_g_22528,peppan_g_23087,peppan_g_30423,peppan_g_34027,peppan_g_38621
GEGEGB_04709,peppan_g_4341,peppan_g_8779,peppan_g_13322,peppan_g_17916,peppan_g_22553,peppan_g_23112,peppan_g_30417,peppan_g_34002,peppan_g_38596
GEGEGB_04710,peppan_g_4342,peppan_g_8780,peppan_g_13323,peppan_g_17917,peppan_g_22554,peppan_g_23113,peppan_g_30416,peppan_g_34001,peppan_g_38595
GEGEGB_04711,peppan_g_4343,peppan_g_8781,peppan_g_13324,peppan_g_17918,peppan_g_22555,peppan_g_23114,peppan_g_30415,peppan_g_34000,peppan_g_38594
GEGEGB_04725,peppan_g_4356,peppan_g_8794,peppan_g_13337,peppan_g_17931,peppan_g_22568,peppan_g_23127,peppan_g_30402,peppan_g_33987,peppan_g_38581
GEGEGB_04726,peppan_g_4357,peppan_g_8795,peppan_g_13338,peppan_g_17932,peppan_g_22569,peppan_g_23128,peppan_g_30401,peppan_g_33986,peppan_g_38580
GEGEGB_04727,peppan_g_4358,peppan_g_8796,peppan_g_13339,peppan_g_17933,peppan_g_22570,peppan_g_23129,peppan_g_30400,peppan_g_33985,peppan_g_38579
GEGEGB_04730,peppan_g_4361,peppan_g_8799,peppan_g_13342,peppan_g_17936,peppan_g_22573,peppan_g_23132,peppan_g_30398,peppan_g_33983,peppan_g_38576
GEGEGB_04740,peppan_g_4370,peppan_g_8808,peppan_g_13351,peppan_g_17945,peppan_g_22582,peppan_g_23141,peppan_g_30389,peppan_g_33974,peppan_g_38567
GEGEGB_04842,peppan_g_4465,peppan_g_8879,peppan_g_13455,peppan_g_18045,peppan_g_22664,peppan_g_23226,peppan_g_30287,peppan_g_33898,peppan_g_38479
GEGEGB_04848,peppan_g_4468,peppan_g_8882,peppan_g_13458,peppan_g_18048,peppan_g_22667,peppan_g_23229,peppan_g_30284,peppan_g_33895,peppan_g_38476
GEGEGB_04874,peppan_g_4493,peppan_g_8907,peppan_g_13487,peppan_g_18073,peppan_g_22696,peppan_g_23258,peppan_g_30255,peppan_g_33866,peppan_g_38447
GEGEGB_04876,peppan_g_4495,peppan_g_8909,peppan_g_13489,peppan_g_18075,peppan_g_22698,peppan_g_23260,peppan_g_30253,peppan_g_33864,peppan_g_38445
GEGEGB_04880,peppan_g_4498,peppan_g_8912,peppan_g_13492,peppan_g_18078,peppan_g_22701,peppan_g_23263,peppan_g_30250,peppan_g_33861,peppan_g_38442
GEGEGB_04885,peppan_g_4503,peppan_g_8917,peppan_g_13497,peppan_g_18083,peppan_g_22706,peppan_g_23268,peppan_g_30245,peppan_g_33856,peppan_g_38437
HFCAGB_00007,peppan_g_6,peppan_g_4511,peppan_g_9049,peppan_g_13556,peppan_g_18181,peppan_g_23276,peppan_g_30237,peppan_g_33848,peppan_g_38429
HFCAGB_00016,peppan_g_14,peppan_g_4519,peppan_g_9057,peppan_g_13564,peppan_g_18189,peppan_g_23284,peppan_g_30229,peppan_g_33840,peppan_g_38421
HFCAGB_00021,peppan_g_19,peppan_g_4524,peppan_g_9062,peppan_g_13569,peppan_g_18194,peppan_g_23289,peppan_g_30224,peppan_g_33835,peppan_g_38416
HFCAGB_00041,peppan_g_39,peppan_g_4544,peppan_g_9082,peppan_g_13589,peppan_g_18214,peppan_g_23309,peppan_g_30204,peppan_g_33815,peppan_g_38397
HFCAGB_00071,peppan_g_68,peppan_g_4573,peppan_g_9111,peppan_g_13618,peppan_g_18244,peppan_g_23338,peppan_g_30175,peppan_g_33786,peppan_g_38368
HFCAGB_00098,peppan_g_100,peppan_g_4602,peppan_g_9143,peppan_g_13644,peppan_g_18273,peppan_g_23367,peppan_g_30146,peppan_g_33757,peppan_g_38339
HFCAGB_00128,peppan_g_126,peppan_g_4628,peppan_g_9169,peppan_g_13671,peppan_g_18299,peppan_g_23393,peppan_g_30119,peppan_g_33731,peppan_g_38312
HFCAGB_00150,peppan_g_146,peppan_g_4646,peppan_g_9189,peppan_g_13691,peppan_g_18317,peppan_g_23411,peppan_g_30101,peppan_g_32602,peppan_g_38292
HFCAGB_00157,peppan_g_153,peppan_g_4653,peppan_g_9196,peppan_g_13698,peppan_g_18324,peppan_g_23418,peppan_g_30094,peppan_g_32595,peppan_g_38285
HFCAGB_00161,peppan_g_156,peppan_g_4656,peppan_g_9199,peppan_g_13701,peppan_g_18327,peppan_g_23421,peppan_g_30091,peppan_g_32592,peppan_g_38282
HFCAGB_00189,peppan_g_177,peppan_g_4681,peppan_g_9231,peppan_g_13728,peppan_g_18353,peppan_g_23447,peppan_g_30064,peppan_g_32565,peppan_g_38255
HFCAGB_00190,peppan_g_178,peppan_g_4682,peppan_g_9232,peppan_g_13729,peppan_g_18354,peppan_g_23448,peppan_g_30063,peppan_g_32557,peppan_g_38247
HFCAGB_00195,peppan_g_190,peppan_g_4694,peppan_g_9237,peppan_g_13734,peppan_g_18359,peppan_g_23453,peppan_g_30058,peppan_g_32552,peppan_g_38242
HFCAGB_00199,peppan_g_194,peppan_g_4698,peppan_g_9241,peppan_g_13738,peppan_g_18363,peppan_g_23457,peppan_g_30054,peppan_g_32548,peppan_g_38238
HFCAGB_00214,peppan_g_201,peppan_g_4705,peppan_g_9256,peppan_g_13753,peppan_g_18378,peppan_g_23472,peppan_g_30039,peppan_g_32533,peppan_g_38223
HFCAGB_00233,peppan_g_217,peppan_g_4722,peppan_g_9273,peppan_g_13770,peppan_g_18394,peppan_g_23488,peppan_g_30023,peppan_g_32517,peppan_g_38207
HFCAGB_00242,peppan_g_226,peppan_g_4731,peppan_g_9282,peppan_g_13779,peppan_g_18403,peppan_g_23497,peppan_g_30014,peppan_g_32007,peppan_g_38198
HFCAGB_00243,peppan_g_227,peppan_g_4732,peppan_g_9283,peppan_g_13780,peppan_g_18404,peppan_g_23498,peppan_g_30013,peppan_g_32008,peppan_g_38197
HFCAGB_00245,peppan_g_229,peppan_g_4734,peppan_g_9285,peppan_g_13782,peppan_g_18406,peppan_g_23500,peppan_g_30011,peppan_g_32010,peppan_g_38195
HFCAGB_00247,peppan_g_232,peppan_g_4736,peppan_g_9287,peppan_g_13784,peppan_g_18408,peppan_g_23502,peppan_g_30009,peppan_g_32012,peppan_g_38193
HFCAGB_00271,peppan_g_2539,peppan_g_4754,peppan_g_9305,peppan_g_13802,peppan_g_18426,peppan_g_23520,peppan_g_29084,peppan_g_35179,peppan_g_38176
HFCAGB_00274,peppan_g_2536,peppan_g_4757,peppan_g_9308,peppan_g_13805,peppan_g_18429,peppan_g_23523,peppan_g_29087,peppan_g_35176,peppan_g_38173
HFCAGB_00276,peppan_g_2534,peppan_g_4759,peppan_g_9310,peppan_g_13807,peppan_g_18431,peppan_g_23525,peppan_g_29089,peppan_g_35174,peppan_g_38171
HFCAGB_00327,peppan_g_2472,peppan_g_4823,peppan_g_9343,peppan_g_13860,peppan_g_18485,peppan_g_23577,peppan_g_29153,peppan_g_35114,peppan_g_38117
HFCAGB_00330,peppan_g_2469,peppan_g_4826,peppan_g_9346,peppan_g_13863,peppan_g_18488,peppan_g_23580,peppan_g_29156,peppan_g_35111,peppan_g_38114
HFCAGB_00359,peppan_g_2454,peppan_g_4854,peppan_g_9373,peppan_g_13891,peppan_g_18514,peppan_g_23605,peppan_g_29181,peppan_g_35083,peppan_g_38086
HFCAGB_00361,peppan_g_2452,peppan_g_4856,peppan_g_9375,peppan_g_13893,peppan_g_18516,peppan_g_23607,peppan_g_29183,peppan_g_35081,peppan_g_38084
HFCAGB_00364,peppan_g_2449,peppan_g_4859,peppan_g_9378,peppan_g_13896,peppan_g_18519,peppan_g_23610,peppan_g_29186,peppan_g_35078,peppan_g_38081
HFCAGB_00366,peppan_g_2447,peppan_g_4861,peppan_g_9380,peppan_g_13898,peppan_g_18521,peppan_g_23612,peppan_g_29188,peppan_g_35076,peppan_g_38079
HFCAGB_00368,peppan_g_2445,peppan_g_4863,peppan_g_9382,peppan_g_13900,peppan_g_18523,peppan_g_23614,peppan_g_29190,peppan_g_35074,peppan_g_38077
HFCAGB_00386,peppan_g_2433,peppan_g_4879,peppan_g_9398,peppan_g_13916,peppan_g_18539,peppan_g_23630,peppan_g_29206,peppan_g_35058,peppan_g_38061
HFCAGB_00397,peppan_g_2423,peppan_g_4889,peppan_g_9408,peppan_g_13926,peppan_g_18549,peppan_g_23640,peppan_g_29216,peppan_g_35048,peppan_g_38051
HFCAGB_00400,peppan_g_2420,peppan_g_4892,peppan_g_9411,peppan_g_13929,peppan_g_18552,peppan_g_23643,peppan_g_29219,peppan_g_35045,peppan_g_38048
HFCAGB_00440,peppan_g_2382,peppan_g_4927,peppan_g_9446,peppan_g_13966,peppan_g_18589,peppan_g_23680,peppan_g_29256,peppan_g_35008,peppan_g_38011
HFCAGB_00450,peppan_g_2372,peppan_g_4937,peppan_g_9456,peppan_g_13976,peppan_g_18599,peppan_g_23690,peppan_g_29266,peppan_g_34998,peppan_g_38001
HFCAGB_00453,peppan_g_2369,peppan_g_4940,peppan_g_9459,peppan_g_13979,peppan_g_18602,peppan_g_23693,peppan_g_29269,peppan_g_34995,peppan_g_37998
HFCAGB_00457,peppan_g_2365,peppan_g_4944,peppan_g_9463,peppan_g_13983,peppan_g_18606,peppan_g_23697,peppan_g_29273,peppan_g_34991,peppan_g_37994
HFCAGB_00458,peppan_g_2364,peppan_g_4945,peppan_g_9464,peppan_g_13984,peppan_g_18607,peppan_g_23698,peppan_g_29274,peppan_g_34990,peppan_g_37993
HFCAGB_00466,peppan_g_2355,peppan_g_4951,peppan_g_9472,peppan_g_13992,peppan_g_18615,peppan_g_23706,peppan_g_29282,peppan_g_34982,peppan_g_37985
HFCAGB_00470,peppan_g_2351,peppan_g_4955,peppan_g_9476,peppan_g_13996,peppan_g_18619,peppan_g_23710,peppan_g_29286,peppan_g_34978,peppan_g_37981
HFCAGB_00480,peppan_g_2342,peppan_g_4964,peppan_g_9485,peppan_g_14005,peppan_g_18628,peppan_g_23719,peppan_g_29295,peppan_g_34969,peppan_g_37972
HFCAGB_00490,peppan_g_2332,peppan_g_4973,peppan_g_9494,peppan_g_14014,peppan_g_18637,peppan_g_23728,peppan_g_29304,peppan_g_34960,peppan_g_37963
HFCAGB_00507,peppan_g_2315,peppan_g_4990,peppan_g_9512,peppan_g_14031,peppan_g_18654,peppan_g_23745,peppan_g_29321,peppan_g_34943,peppan_g_37946
HFCAGB_00514,peppan_g_2308,peppan_g_4997,peppan_g_9519,peppan_g_14038,peppan_g_18661,peppan_g_23752,peppan_g_29328,peppan_g_34936,peppan_g_37939
HFCAGB_00515,peppan_g_2307,peppan_g_4998,peppan_g_9520,peppan_g_14039,peppan_g_18662,peppan_g_23753,peppan_g_29329,peppan_g_34935,peppan_g_37938
HFCAGB_00516,peppan_g_2306,peppan_g_4999,peppan_g_9521,peppan_g_14040,peppan_g_18663,peppan_g_23754,peppan_g_29330,peppan_g_34934,peppan_g_37937
HFCAGB_00517,peppan_g_2305,peppan_g_5000,peppan_g_9522,peppan_g_14041,peppan_g_18664,peppan_g_23755,peppan_g_29331,peppan_g_34933,peppan_g_37936
HFCAGB_00530,peppan_g_2293,peppan_g_5012,peppan_g_9534,peppan_g_14053,peppan_g_18676,peppan_g_23767,peppan_g_29343,peppan_g_34921,peppan_g_37924
HFCAGB_00655,peppan_g_2238,peppan_g_5186,peppan_g_9593,peppan_g_14176,peppan_g_18735,peppan_g_23826,peppan_g_29461,peppan_g_34811,peppan_g_37861
HFCAGB_00657,peppan_g_2236,peppan_g_5188,peppan_g_9595,peppan_g_14178,peppan_g_18737,peppan_g_23828,peppan_g_29463,peppan_g_34809,peppan_g_37859
HFCAGB_00682,peppan_g_2213,peppan_g_5208,peppan_g_9618,peppan_g_14201,peppan_g_18767,peppan_g_23858,peppan_g_29486,peppan_g_34779,peppan_g_37836
HFCAGB_00685,peppan_g_2210,peppan_g_5211,peppan_g_9621,peppan_g_14204,peppan_g_18770,peppan_g_23861,peppan_g_29489,peppan_g_34776,peppan_g_37833
HFCAGB_00686,peppan_g_2209,peppan_g_5212,peppan_g_9622,peppan_g_14205,peppan_g_18771,peppan_g_23862,peppan_g_29490,peppan_g_34775,peppan_g_37832
HFCAGB_00694,peppan_g_2202,peppan_g_5219,peppan_g_9629,peppan_g_14212,peppan_g_18778,peppan_g_23869,peppan_g_29497,peppan_g_34768,peppan_g_37825
HFCAGB_00702,peppan_g_2195,peppan_g_5225,peppan_g_9635,peppan_g_14218,peppan_g_18784,peppan_g_23875,peppan_g_29503,peppan_g_34762,peppan_g_37819
HFCAGB_00705,peppan_g_2192,peppan_g_5228,peppan_g_9638,peppan_g_14221,peppan_g_18787,peppan_g_23878,peppan_g_29506,peppan_g_34759,peppan_g_37816
HFCAGB_00711,peppan_g_2188,peppan_g_5232,peppan_g_9642,peppan_g_14225,peppan_g_18791,peppan_g_23882,peppan_g_29510,peppan_g_34755,peppan_g_37812
HFCAGB_00714,peppan_g_2185,peppan_g_5235,peppan_g_9645,peppan_g_14228,peppan_g_18794,peppan_g_23885,peppan_g_29513,peppan_g_34752,peppan_g_37809
HFCAGB_00719,peppan_g_2180,peppan_g_5240,peppan_g_9650,peppan_g_14233,peppan_g_18799,peppan_g_23890,peppan_g_29518,peppan_g_34747,peppan_g_37804
HFCAGB_00731,peppan_g_2168,peppan_g_5252,peppan_g_9662,peppan_g_14245,peppan_g_18811,peppan_g_23902,peppan_g_29530,peppan_g_32234,peppan_g_37792
HFCAGB_00733,peppan_g_2166,peppan_g_5254,peppan_g_9664,peppan_g_14247,peppan_g_18813,peppan_g_23904,peppan_g_29532,peppan_g_32232,peppan_g_37790
HFCAGB_00736,peppan_g_2163,peppan_g_5257,peppan_g_9667,peppan_g_14250,peppan_g_18816,peppan_g_23907,peppan_g_29535,peppan_g_32229,peppan_g_37787
HFCAGB_00739,peppan_g_2160,peppan_g_5260,peppan_g_9670,peppan_g_14253,peppan_g_18819,peppan_g_23910,peppan_g_29538,peppan_g_32226,peppan_g_37784
HFCAGB_00740,peppan_g_2159,peppan_g_5261,peppan_g_9671,peppan_g_14254,peppan_g_18820,peppan_g_23911,peppan_g_29539,peppan_g_32225,peppan_g_37783
HFCAGB_00783,peppan_g_2133,peppan_g_5289,peppan_g_9707,peppan_g_14287,peppan_g_18853,peppan_g_23944,peppan_g_27596,peppan_g_32193,peppan_g_37751
HFCAGB_00797,peppan_g_2117,peppan_g_5305,peppan_g_9723,peppan_g_14303,peppan_g_18869,peppan_g_23960,peppan_g_27580,peppan_g_32252,peppan_g_37735
HFCAGB_00800,peppan_g_2114,peppan_g_5308,peppan_g_9726,peppan_g_14306,peppan_g_18872,peppan_g_23963,peppan_g_27577,peppan_g_32255,peppan_g_37732
HFCAGB_00810,peppan_g_2092,peppan_g_5330,peppan_g_9736,peppan_g_14316,peppan_g_18894,peppan_g_23985,peppan_g_27555,peppan_g_32265,peppan_g_37710
HFCAGB_00858,peppan_g_2057,peppan_g_5365,peppan_g_9780,peppan_g_14360,peppan_g_18938,peppan_g_24029,peppan_g_28474,peppan_g_32935,peppan_g_37666
HFCAGB_00859,peppan_g_2056,peppan_g_5366,peppan_g_9781,peppan_g_14361,peppan_g_18939,peppan_g_24030,peppan_g_28475,peppan_g_32934,peppan_g_37665
HFCAGB_00867,peppan_g_2048,peppan_g_5374,peppan_g_9789,peppan_g_14369,peppan_g_18947,peppan_g_24038,peppan_g_28483,peppan_g_32926,peppan_g_37614
HFCAGB_00873,peppan_g_2042,peppan_g_5380,peppan_g_9795,peppan_g_14375,peppan_g_18953,peppan_g_24044,peppan_g_28489,peppan_g_32920,peppan_g_37608
HFCAGB_00891,peppan_g_2025,peppan_g_5397,peppan_g_9812,peppan_g_14392,peppan_g_18971,peppan_g_24061,peppan_g_28506,peppan_g_32903,peppan_g_37591
HFCAGB_00892,peppan_g_2024,peppan_g_5398,peppan_g_9813,peppan_g_14393,peppan_g_18972,peppan_g_24062,peppan_g_28507,peppan_g_32902,peppan_g_37590
HFCAGB_00897,peppan_g_2019,peppan_g_5403,peppan_g_9818,peppan_g_14398,peppan_g_18977,peppan_g_24067,peppan_g_28512,peppan_g_32897,peppan_g_37585
HFCAGB_00898,peppan_g_2018,peppan_g_5404,peppan_g_9819,peppan_g_14399,peppan_g_18978,peppan_g_24068,peppan_g_28513,peppan_g_32896,peppan_g_37584
HFCAGB_00905,peppan_g_2011,peppan_g_5411,peppan_g_9827,peppan_g_14406,peppan_g_18985,peppan_g_24075,peppan_g_28527,peppan_g_32889,peppan_g_37577
HFCAGB_00924,peppan_g_1994,peppan_g_5427,peppan_g_9846,peppan_g_14425,peppan_g_19004,peppan_g_24094,peppan_g_28546,peppan_g_32870,peppan_g_37558
HFCAGB_00965,peppan_g_1964,peppan_g_5466,peppan_g_9876,peppan_g_14464,peppan_g_19043,peppan_g_24133,peppan_g_28585,peppan_g_32831,peppan_g_37519
HFCAGB_00966,peppan_g_1963,peppan_g_5467,peppan_g_9877,peppan_g_14465,peppan_g_19044,peppan_g_24134,peppan_g_28586,peppan_g_32830,peppan_g_37518
HFCAGB_00969,peppan_g_1960,peppan_g_5470,peppan_g_9880,peppan_g_14468,peppan_g_19047,peppan_g_24137,peppan_g_28589,peppan_g_32827,peppan_g_37515
HFCAGB_00976,peppan_g_1953,peppan_g_5477,peppan_g_9887,peppan_g_14475,peppan_g_19054,peppan_g_24144,peppan_g_28596,peppan_g_32820,peppan_g_37508
HFCAGB_00979,peppan_g_1950,peppan_g_5480,peppan_g_9890,peppan_g_14478,peppan_g_19057,peppan_g_24147,peppan_g_28599,peppan_g_32817,peppan_g_37505
HFCAGB_00989,peppan_g_1940,peppan_g_5490,peppan_g_9900,peppan_g_14488,peppan_g_19067,peppan_g_24157,peppan_g_28609,peppan_g_32807,peppan_g_37495
HFCAGB_00999,peppan_g_1930,peppan_g_5498,peppan_g_9915,peppan_g_14498,peppan_g_19079,peppan_g_24168,peppan_g_28620,peppan_g_32796,peppan_g_37482
HFCAGB_01007,peppan_g_1922,peppan_g_5506,peppan_g_9923,peppan_g_14506,peppan_g_19087,peppan_g_24176,peppan_g_28628,peppan_g_32788,peppan_g_37474
HFCAGB_01023,peppan_g_1907,peppan_g_5521,peppan_g_9938,peppan_g_14521,peppan_g_19102,peppan_g_24191,peppan_g_28643,peppan_g_32773,peppan_g_37459
HFCAGB_01034,peppan_g_1896,peppan_g_5532,peppan_g_9949,peppan_g_14532,peppan_g_19113,peppan_g_24202,peppan_g_28654,peppan_g_32762,peppan_g_37448
HFCAGB_01105,peppan_g_1816,peppan_g_5545,peppan_g_9965,peppan_g_14603,peppan_g_19186,peppan_g_24218,peppan_g_27696,peppan_g_32088,peppan_g_37376
HFCAGB_01107,peppan_g_1814,peppan_g_5547,peppan_g_9967,peppan_g_14605,peppan_g_19188,peppan_g_24220,peppan_g_27698,peppan_g_31935,peppan_g_37374
HFCAGB_01115,peppan_g_1806,peppan_g_5555,peppan_g_9975,peppan_g_14613,peppan_g_19196,peppan_g_24228,peppan_g_27706,peppan_g_31927,peppan_g_37366
HFCAGB_01116,peppan_g_1805,peppan_g_5556,peppan_g_9976,peppan_g_14614,peppan_g_19197,peppan_g_24229,peppan_g_27707,peppan_g_31926,peppan_g_37365
HFCAGB_01124,peppan_g_1796,peppan_g_5565,peppan_g_9985,peppan_g_14623,peppan_g_19206,peppan_g_24238,peppan_g_27716,peppan_g_32502,peppan_g_37356
HFCAGB_01129,peppan_g_1791,peppan_g_5570,peppan_g_9990,peppan_g_14628,peppan_g_19211,peppan_g_24243,peppan_g_27721,peppan_g_32497,peppan_g_37351
HFCAGB_01148,peppan_g_1774,peppan_g_5586,peppan_g_10007,peppan_g_14644,peppan_g_19227,peppan_g_24259,peppan_g_27737,peppan_g_32481,peppan_g_37335
HFCAGB_01156,peppan_g_1766,peppan_g_5594,peppan_g_10015,peppan_g_14652,peppan_g_19235,peppan_g_24267,peppan_g_27745,peppan_g_32473,peppan_g_37327
HFCAGB_01159,peppan_g_1763,peppan_g_5597,peppan_g_10018,peppan_g_14655,peppan_g_19238,peppan_g_24270,peppan_g_27748,peppan_g_32470,peppan_g_37324
HFCAGB_01160,peppan_g_1762,peppan_g_5598,peppan_g_10019,peppan_g_14656,peppan_g_19239,peppan_g_24271,peppan_g_27749,peppan_g_32469,peppan_g_37323
HFCAGB_01171,peppan_g_1751,peppan_g_5609,peppan_g_10030,peppan_g_14667,peppan_g_19250,peppan_g_24282,peppan_g_27760,peppan_g_32458,peppan_g_37312
HFCAGB_01222,peppan_g_869,peppan_g_6490,peppan_g_10073,peppan_g_14712,peppan_g_20177,peppan_g_25203,peppan_g_31143,peppan_g_35814,peppan_g_36368
HFCAGB_01227,peppan_g_874,peppan_g_6485,peppan_g_10078,peppan_g_14717,peppan_g_20172,peppan_g_25198,peppan_g_31148,peppan_g_35819,peppan_g_36373
HFCAGB_01230,peppan_g_877,peppan_g_6482,peppan_g_10081,peppan_g_14720,peppan_g_20169,peppan_g_25195,peppan_g_31151,peppan_g_35822,peppan_g_36376
HFCAGB_01237,peppan_g_883,peppan_g_6476,peppan_g_10087,peppan_g_14726,peppan_g_20163,peppan_g_25189,peppan_g_31157,peppan_g_35828,peppan_g_36382
HFCAGB_01259,peppan_g_905,peppan_g_6454,peppan_g_10109,peppan_g_14748,peppan_g_20140,peppan_g_25167,peppan_g_31179,peppan_g_35850,peppan_g_36404
HFCAGB_01261,peppan_g_907,peppan_g_6452,peppan_g_10111,peppan_g_14750,peppan_g_20138,peppan_g_25165,peppan_g_31181,peppan_g_35852,peppan_g_36406
HFCAGB_01269,peppan_g_915,peppan_g_6444,peppan_g_10119,peppan_g_14758,peppan_g_20130,peppan_g_25157,peppan_g_31189,peppan_g_35860,peppan_g_36414
HFCAGB_01280,peppan_g_923,peppan_g_6436,peppan_g_10127,peppan_g_14766,peppan_g_20122,peppan_g_25149,peppan_g_31197,peppan_g_35868,peppan_g_36422
HFCAGB_01295,peppan_g_938,peppan_g_6420,peppan_g_10143,peppan_g_14782,peppan_g_20106,peppan_g_25133,peppan_g_31213,peppan_g_35884,peppan_g_36438
HFCAGB_01308,peppan_g_951,peppan_g_6407,peppan_g_10156,peppan_g_14795,peppan_g_20093,peppan_g_25120,peppan_g_31226,peppan_g_35897,peppan_g_36451
HFCAGB_01320,peppan_g_962,peppan_g_6396,peppan_g_10168,peppan_g_14807,peppan_g_20081,peppan_g_25108,peppan_g_31238,peppan_g_35909,peppan_g_36463
HFCAGB_01322,peppan_g_964,peppan_g_6394,peppan_g_10170,peppan_g_14809,peppan_g_20079,peppan_g_25106,peppan_g_31240,peppan_g_35911,peppan_g_36465
HFCAGB_01325,peppan_g_967,peppan_g_6391,peppan_g_10173,peppan_g_14812,peppan_g_20076,peppan_g_25103,peppan_g_31243,peppan_g_35914,peppan_g_36468
HFCAGB_01328,peppan_g_970,peppan_g_6388,peppan_g_10176,peppan_g_14815,peppan_g_20073,peppan_g_25100,peppan_g_31249,peppan_g_35917,peppan_g_36471
HFCAGB_01332,peppan_g_974,peppan_g_6384,peppan_g_10180,peppan_g_14819,peppan_g_20069,peppan_g_25096,peppan_g_31253,peppan_g_35921,peppan_g_36475
HFCAGB_01334,peppan_g_976,peppan_g_6382,peppan_g_10182,peppan_g_14821,peppan_g_20067,peppan_g_25094,peppan_g_31255,peppan_g_35923,peppan_g_36477
HFCAGB_01336,peppan_g_978,peppan_g_6380,peppan_g_10184,peppan_g_14823,peppan_g_20065,peppan_g_25092,peppan_g_31257,peppan_g_35925,peppan_g_36479
HFCAGB_01340,peppan_g_982,peppan_g_6376,peppan_g_10188,peppan_g_14827,peppan_g_20061,peppan_g_25088,peppan_g_31261,peppan_g_35929,peppan_g_36483
HFCAGB_01341,peppan_g_983,peppan_g_6375,peppan_g_10189,peppan_g_14828,peppan_g_20060,peppan_g_25087,peppan_g_31262,peppan_g_35930,peppan_g_36484
HFCAGB_01448,peppan_g_1027,peppan_g_6323,peppan_g_10231,peppan_g_14931,peppan_g_20010,peppan_g_25037,peppan_g_31323,peppan_g_35993,peppan_g_36537
HFCAGB_01476,peppan_g_1054,peppan_g_6296,peppan_g_10258,peppan_g_14958,peppan_g_19982,peppan_g_25010,peppan_g_31350,peppan_g_36020,peppan_g_36564
HFCAGB_01480,peppan_g_1058,peppan_g_6292,peppan_g_10262,peppan_g_14962,peppan_g_19978,peppan_g_25006,peppan_g_31354,peppan_g_36024,peppan_g_36568
HFCAGB_01498,peppan_g_1074,peppan_g_6275,peppan_g_10280,peppan_g_14979,peppan_g_19962,peppan_g_24990,peppan_g_31372,peppan_g_36040,peppan_g_36584
