"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000007545.1_ASM754v1_genomic","GCF_000020745.1_ASM2074v1_genomic","GCF_000020885.1_ASM2088v1_genomic","GCF_000020925.1_ASM2092v1_genomic","GCF_000022165.1_ASM2216v1_genomic","GCF_000170215.1_ASM17021v1_genomic","GCF_000171415.1_ASM17141v1_genomic","GCF_000171515.1_ASM17151v1_genomic","GCF_000171535.2_ASM17153v2_genomic"
"Xanthine-guanine phosphoribosyltransferase","","Xanthine-guanine phosphoribosyltransferase","9","9","1","32","1130","","","","458","458","458","GEGEGB_02665","LNHIMF_00343","BEJGEH_00326","HFCAGB_00335","AJBGEP_00337","ODDLKH_00804","IKCLMC_02071","PKJKAM_03418","ONMMKP_01841"
"ATP synthase subunit beta","","ATP synthase subunit beta","9","9","1","32","2319","","","","1382","1382","1382","GEGEGB_03850","LNHIMF_03907","BEJGEH_03910","HFCAGB_04108","AJBGEP_04060","ODDLKH_04311","IKCLMC_02512","PKJKAM_01615","ONMMKP_02913"
"Nucleoside transporter/FeoB GTPase Gate domain-containing protein","","Nucleoside transporter/FeoB GTPase Gate domain-containing protein","9","9","1","32","5435","","","","461","461","461","GEGEGB_04807","LNHIMF_04575","BEJGEH_04617","HFCAGB_04734","AJBGEP_04716","ODDLKH_00388","IKCLMC_03290","PKJKAM_02189","ONMMKP_02257"
"tolQ","","Tol-Pal system protein TolQ","9","9","1","32","1722","","","","692","692","692","GEGEGB_02241","LNHIMF_00884","BEJGEH_00746","HFCAGB_00826","AJBGEP_00770","ODDLKH_01237","IKCLMC_00384","PKJKAM_00432","ONMMKP_01408"
"tcuC","","tricarballylate/proton symporter TcuC","9","9","1","32","1783","","","","1304","1304","1304","GEGEGB_02300","LNHIMF_00828","BEJGEH_00702","HFCAGB_00784","AJBGEP_00714","ODDLKH_01181","IKCLMC_00440","PKJKAM_00336","ONMMKP_01464"
"Co-chaperonin GroES","","Co-chaperonin GroES","9","9","1","32","5810","","","","293","293","293","GEGEGB_04616","LNHIMF_04419","BEJGEH_04397","HFCAGB_04557","AJBGEP_04528","ODDLKH_00201","IKCLMC_01135","PKJKAM_01188","ONMMKP_02454"
"osmX","","osmoprotectant ABC transporter substrate-binding protein OsmX","9","9","1","32","285","","","","572","902","865","GEGEGB_01486","LNHIMF_01543","BEJGEH_01593","HFCAGB_01785","AJBGEP_01572","ODDLKH_01970","IKCLMC_04668","PKJKAM_04684","ONMMKP_00557"
"cspD","","Cold shock-like protein CspD","9","9","1","32","962","","","","221","221","221","GEGEGB_02094","LNHIMF_01034","BEJGEH_00900","HFCAGB_00990","AJBGEP_00935","ODDLKH_01400","IKCLMC_01505","PKJKAM_00984","ONMMKP_01200"
"ytjA","","UPF0391 membrane protein YtjA","9","9","1","32","5375","","","","161","161","161","GEGEGB_04852","LNHIMF_04618","BEJGEH_04654","HFCAGB_04791","AJBGEP_04765","ODDLKH_00437","IKCLMC_03237","PKJKAM_02141","ONMMKP_02216"
"hypA","","Hydrogenase maturation factor HypA","9","9","1","32","5142","","","","356","356","356","GEGEGB_02895","LNHIMF_02886","BEJGEH_02840","HFCAGB_03058","AJBGEP_03009","ODDLKH_03271","IKCLMC_04001","PKJKAM_02521","ONMMKP_04011"
"yciN","","Protein YciN","9","9","1","32","7449","","","","251","251","251","GEGEGB_01717","LNHIMF_01783","BEJGEH_01350","HFCAGB_01560","AJBGEP_01807","ODDLKH_02203","IKCLMC_04440","PKJKAM_04449","ONMMKP_00320"
"rdgC","","Recombination-associated protein RdgC","9","9","1","32","1227","","","","911","911","911","GEGEGB_02601","LNHIMF_00419","BEJGEH_00401","HFCAGB_00414","AJBGEP_00411","ODDLKH_00877","IKCLMC_02145","PKJKAM_03341","ONMMKP_01764"
"galP","","galactose/proton symporter","9","9","1","32","4864","","","","1394","1394","1394","GEGEGB_03156","LNHIMF_03129","BEJGEH_03099","HFCAGB_03312","AJBGEP_03255","ODDLKH_03517","IKCLMC_03754","PKJKAM_00299","ONMMKP_03757"
"bolA","","DNA-binding transcriptional regulator BolA","9","9","1","32","1288","","","","314","314","314","GEGEGB_02540","LNHIMF_00470","BEJGEH_00454","HFCAGB_00470","AJBGEP_00466","ODDLKH_00932","IKCLMC_02200","PKJKAM_03286","ONMMKP_01708"
"ybeF","","Uncharacterized HTH-type transcriptional regulator YbeF","9","9","1","32","1494","","","","953","953","953","GEGEGB_02348","LNHIMF_00778","BEJGEH_00644","HFCAGB_00726","AJBGEP_00658","ODDLKH_01124","IKCLMC_02447","PKJKAM_00391","ONMMKP_01518"
"Large-conductance mechanosensitive channel","","Large-conductance mechanosensitive channel","9","9","1","32","2970","","","","413","413","413","GEGEGB_04318","LNHIMF_03455","BEJGEH_03433","HFCAGB_03639","AJBGEP_03583","ODDLKH_03847","IKCLMC_00143","PKJKAM_00114","ONMMKP_03421"
"SecY/secA suppressor protein","","SecY/secA suppressor protein","9","9","1","32","2016","","","","374","374","374","GEGEGB_01863","LNHIMF_01186","BEJGEH_01940","HFCAGB_02144","AJBGEP_01153","ODDLKH_01557","IKCLMC_00795","PKJKAM_00590","ONMMKP_00982"
"3,4-dihydroxy-2-butanone 4-phosphate synthase","","3,4-dihydroxy-2-butanone 4-phosphate synthase","9","9","1","32","4741","","","","653","653","653","GEGEGB_03269","LNHIMF_03239","BEJGEH_03214","HFCAGB_03418","AJBGEP_03362","ODDLKH_03622","IKCLMC_03648","PKJKAM_01875","ONMMKP_03635"
"ychE","","NAAT family transporter YchE","9","9","1","32","7415","","","","647","647","647","GEGEGB_01751","LNHIMF_01816","BEJGEH_01318","HFCAGB_01527","AJBGEP_01840","ODDLKH_02236","IKCLMC_04407","PKJKAM_04416","ONMMKP_00287"
"yfcL","","YfcL family protein","9","9","1","32","4129","","","","275","275","275","GEGEGB_00524","LNHIMF_02510","BEJGEH_02402","HFCAGB_02641","AJBGEP_02547","ODDLKH_02881","IKCLMC_01611","PKJKAM_02882","ONMMKP_04454"
"sicA","","SycD/LcrH family type III secretion system chaperone SicA","9","9","1","32","5109","","","","497","497","497","GEGEGB_02926","LNHIMF_02919","BEJGEH_02873","HFCAGB_03091","AJBGEP_03042","ODDLKH_03304","IKCLMC_03968","PKJKAM_02488","ONMMKP_03976"
"Ribosomal large subunit pseudouridine synthase D","","Ribosomal large subunit pseudouridine synthase D","9","9","1","32","4372","","","","980","980","980","GEGEGB_02752","LNHIMF_02747","BEJGEH_02647","HFCAGB_02892","AJBGEP_02855","ODDLKH_03119","IKCLMC_04133","PKJKAM_02639","ONMMKP_04214"
"DUF2594 domain-containing protein","","DUF2594 domain-containing protein","9","9","1","32","7185","","","","224","224","224","GEGEGB_00993","LNHIMF_02021","BEJGEH_01117","HFCAGB_01266","AJBGEP_02046","ODDLKH_02439","IKCLMC_04190","PKJKAM_04201","ONMMKP_00079"
"group_4966","hypothetical protein","hypothetical protein","9","9","1","32","4638","","","","101","101","101","GEGEGB_03382","LNHIMF_03341","BEJGEH_03319","HFCAGB_03523","AJBGEP_03469","ODDLKH_03732","IKCLMC_03540","PKJKAM_01727","ONMMKP_03533"
"Fructose permease IID component","","Fructose permease IID component","9","9","1","32","7331","","","","851","851","851","GEGEGB_01108","LNHIMF_01900","BEJGEH_01233","HFCAGB_01443","AJBGEP_01925","ODDLKH_02320","IKCLMC_04322","PKJKAM_04333","ONMMKP_00204"
"mntP","","Putative manganese efflux pump MntP","9","9","1","32","7329","","","","566","566","566","GEGEGB_01106","LNHIMF_01902","BEJGEH_01231","HFCAGB_01441","AJBGEP_01927","ODDLKH_02322","IKCLMC_04320","PKJKAM_04331","ONMMKP_00202"
"UPF0756 membrane protein YPO3057/y1423/YP_2679","","UPF0756 membrane protein YPO3057/y1423/YP_2679","9","9","1","32","537","","","","446","446","446","GEGEGB_01223","LNHIMF_01326","BEJGEH_01808","HFCAGB_02011","AJBGEP_01357","ODDLKH_01754","IKCLMC_04885","PKJKAM_00466","ONMMKP_00851"
"Small multidrug resistance family-3 protein","","Small multidrug resistance family-3 protein","9","9","1","32","274","","","","335","335","335","GEGEGB_01497","LNHIMF_01554","BEJGEH_01582","HFCAGB_01774","AJBGEP_01583","ODDLKH_01981","IKCLMC_04657","PKJKAM_04673","ONMMKP_00546"
"yhbS","","Uncharacterized N-acetyltransferase YhbS","9","9","1","32","4666","","","","503","503","503","GEGEGB_03355","LNHIMF_03314","BEJGEH_03289","HFCAGB_03493","AJBGEP_03437","ODDLKH_03702","IKCLMC_03568","PKJKAM_01755","ONMMKP_03560"
"fluC","","Fluoride-specific ion channel FluC","9","9","1","32","1490","","","","383","383","383","GEGEGB_02352","LNHIMF_00774","BEJGEH_00640","HFCAGB_00722","AJBGEP_00654","ODDLKH_01120","IKCLMC_02443","PKJKAM_03044","ONMMKP_01522"
"secB","","Protein-export protein SecB","9","9","1","32","2654","","","","467","467","467","GEGEGB_04027","LNHIMF_03734","BEJGEH_03739","HFCAGB_03942","AJBGEP_03886","ODDLKH_04146","IKCLMC_02672","PKJKAM_03648","ONMMKP_03129"
"rpoE","","RNA polymerase sigma factor RpoE","9","9","1","32","4353","","","","575","575","575","GEGEGB_00291","LNHIMF_02722","BEJGEH_02623","HFCAGB_02868","AJBGEP_02831","ODDLKH_03095","IKCLMC_00093","PKJKAM_02664","ONMMKP_04238"
"yihD","","Protein YihD","9","9","1","32","2991","","","","269","269","269","GEGEGB_03818","LNHIMF_04035","BEJGEH_04042","HFCAGB_04235","AJBGEP_04190","ODDLKH_04440","IKCLMC_00633","PKJKAM_01487","ONMMKP_02786"
"ridA","","2-iminobutanoate/2-iminopropanoate deaminase","9","9","1","32","5684","","","","386","386","386","GEGEGB_04729","LNHIMF_04525","BEJGEH_04524","HFCAGB_04666","AJBGEP_04657","ODDLKH_00327","IKCLMC_03361","PKJKAM_02242","ONMMKP_02329"
"braG","","High-affinity branched-chain amino acid transport ATP-binding protein BraG","9","9","1","32","2805","","","","713","713","713","GEGEGB_04178","LNHIMF_03595","BEJGEH_03590","HFCAGB_03794","AJBGEP_03739","ODDLKH_04000","IKCLMC_02819","PKJKAM_03795","ONMMKP_03278"
"hslV","","ATP-dependent protease subunit HslV","9","9","1","32","3095","","","","530","530","530","GEGEGB_03713","LNHIMF_04136","BEJGEH_04147","HFCAGB_04336","AJBGEP_04291","ODDLKH_04541","IKCLMC_00735","PKJKAM_01390","ONMMKP_02689"
"group_4978","Inner membrane protein","Inner membrane protein","9","9","1","32","6533","","","","239","239","239","GEGEGB_00715","LNHIMF_02329","BEJGEH_02219","HFCAGB_02450","AJBGEP_02349","ODDLKH_02683","IKCLMC_01798","PKJKAM_03933","ONMMKP_04641"
"Small ribosomal subunit protein uS8","","Small ribosomal subunit protein uS8","9","9","1","32","2953","","","","392","392","392","GEGEGB_04302","LNHIMF_03471","BEJGEH_03449","HFCAGB_03655","AJBGEP_03599","ODDLKH_03863","IKCLMC_00127","PKJKAM_00098","ONMMKP_03405"
"Inner membrane protein","","Inner membrane protein","9","9","1","32","2010","","","","113","113","113","GEGEGB_01857","LNHIMF_01192","BEJGEH_01934","HFCAGB_02138","AJBGEP_01159","ODDLKH_01563","IKCLMC_00801","PKJKAM_00584","ONMMKP_00976"
"Peptidase S11 D-alanyl-D-alanine carboxypeptidase A N-terminal domain-containing protein","","Peptidase S11 D-alanyl-D-alanine carboxypeptidase A N-terminal domain-containing protein","9","9","1","32","6550","","","","908","908","908","GEGEGB_00732","LNHIMF_02312","BEJGEH_02202","HFCAGB_02433","AJBGEP_02332","ODDLKH_02666","IKCLMC_01815","PKJKAM_03950","ONMMKP_04659"
"artJ","","ABC transporter substrate-binding protein ArtJ","9","9","1","32","943","","","","731","731","731","GEGEGB_02113","LNHIMF_01015","BEJGEH_00881","HFCAGB_00971","AJBGEP_00916","ODDLKH_01381","IKCLMC_01486","PKJKAM_01003","ONMMKP_01219"
"dnaA","","DnaA regulatory inactivator Hda","9","9","1","32","4254","","","","725","725","725","GEGEGB_00393","LNHIMF_02629","BEJGEH_02525","HFCAGB_02769","AJBGEP_02669","ODDLKH_03001","IKCLMC_01277","PKJKAM_02761","ONMMKP_04333"
"potE","","Putrescine transporter PotE","9","9","1","32","1772","","","","1319","1319","1319","GEGEGB_02289","LNHIMF_00840","BEJGEH_00713","HFCAGB_00795","AJBGEP_00725","ODDLKH_01192","IKCLMC_00429","PKJKAM_00399","ONMMKP_01453"
"group_4985","hypothetical protein","hypothetical protein","9","9","1","32","5201","","","","158","158","158","GEGEGB_02831","LNHIMF_02824","BEJGEH_02778","HFCAGB_02996","AJBGEP_02947","ODDLKH_03210","IKCLMC_04060","PKJKAM_02583","ONMMKP_04072"
"phoU","","Phosphate-specific transport system accessory protein PhoU","9","9","1","32","2304","","","","725","725","725","GEGEGB_03868","LNHIMF_03894","BEJGEH_03896","HFCAGB_04094","AJBGEP_04046","ODDLKH_04298","IKCLMC_02525","PKJKAM_03500","ONMMKP_02926"
"group_4987","Lipoprotein","Lipoprotein","9","9","1","32","7527","","","","191","191","191","GEGEGB_01630","LNHIMF_01704","BEJGEH_01425","HFCAGB_01634","AJBGEP_01733","ODDLKH_02131","IKCLMC_04513","PKJKAM_04524","ONMMKP_00394"
"ATP-dependent 6-phosphofructokinase isozyme 1","","ATP-dependent 6-phosphofructokinase isozyme 1","9","9","1","32","3066","","","","962","962","962","GEGEGB_03743","LNHIMF_04107","BEJGEH_04118","HFCAGB_04307","AJBGEP_04262","ODDLKH_04512","IKCLMC_00706","PKJKAM_01419","ONMMKP_02718"
"group_4989","Thioredoxin","Thioredoxin","9","9","1","32","2373","","","","329","329","329","GEGEGB_03559","LNHIMF_03958","BEJGEH_03959","HFCAGB_04155","AJBGEP_04107","ODDLKH_04357","IKCLMC_00522","PKJKAM_01568","ONMMKP_02866"
"Outer membrane lipoprotein","","Outer membrane lipoprotein","9","9","1","32","2890","","","","170","170","170","GEGEGB_04245","LNHIMF_03525","BEJGEH_03506","HFCAGB_03709","AJBGEP_03655","ODDLKH_03917","IKCLMC_02902","PKJKAM_03870","ONMMKP_03351"
"Methylglyoxal synthase","","Methylglyoxal synthase","9","9","1","32","1916","","","","458","458","458","GEGEGB_01948","LNHIMF_01107","BEJGEH_00980","HFCAGB_01123","AJBGEP_01074","ODDLKH_01478","IKCLMC_00570","PKJKAM_00672","ONMMKP_01061"
"yajC","","Sec translocon accessory complex subunit YajC","9","9","1","32","1244","","","","332","332","332","GEGEGB_02584","LNHIMF_00433","BEJGEH_00415","HFCAGB_00429","AJBGEP_00425","ODDLKH_00891","IKCLMC_02159","PKJKAM_03327","ONMMKP_01749"
"ydgK","","Inner membrane protein YdgK","9","9","1","32","338","","","","440","440","440","GEGEGB_01402","LNHIMF_01510","BEJGEH_01625","HFCAGB_01817","AJBGEP_01542","ODDLKH_01940","IKCLMC_04701","PKJKAM_00183","ONMMKP_00587"
"exbB","","Biopolymer transport protein ExbB","9","9","1","32","4788","","","","734","734","734","GEGEGB_03230","LNHIMF_03202","BEJGEH_03169","HFCAGB_03382","AJBGEP_03326","ODDLKH_03586","IKCLMC_03685","PKJKAM_01911","ONMMKP_03671"
"htpX","","Protease HtpX","9","9","1","32","7318","","","","881","881","881","GEGEGB_01096","LNHIMF_01911","BEJGEH_01221","HFCAGB_01431","AJBGEP_01936","ODDLKH_02331","IKCLMC_04310","PKJKAM_04321","ONMMKP_00192"
"iscU","","Iron-sulfur cluster assembly scaffold protein IscU","9","9","1","32","4303","","","","386","386","386","GEGEGB_00339","LNHIMF_02675","BEJGEH_02573","HFCAGB_02821","AJBGEP_02717","ODDLKH_03048","IKCLMC_01230","PKJKAM_02713","ONMMKP_04285"
"Cardiolipin synthase C","","Cardiolipin synthase C","9","9","1","32","2021","","","","1484","1484","1484","GEGEGB_01868","LNHIMF_01181","BEJGEH_01945","HFCAGB_02149","AJBGEP_01148","ODDLKH_01552","IKCLMC_00790","PKJKAM_00595","ONMMKP_00987"
"tolR","","Tol-Pal system protein TolR","9","9","1","32","1721","","","","428","428","428","GEGEGB_02240","LNHIMF_00885","BEJGEH_00747","HFCAGB_00827","AJBGEP_00771","ODDLKH_01238","IKCLMC_00383","PKJKAM_00433","ONMMKP_01407"
"ompR","","DNA-binding dual transcriptional regulator OmpR","9","9","1","32","2867","","","","719","719","719","GEGEGB_04223","LNHIMF_03547","BEJGEH_03529","HFCAGB_03731","AJBGEP_03677","ODDLKH_03939","IKCLMC_02880","PKJKAM_03846","ONMMKP_03329"
"csgF","","curli production assembly/transport protein CsgF","9","9","1","32","2029","","","","416","416","416","GEGEGB_01877","LNHIMF_01172","BEJGEH_01954","HFCAGB_02158","AJBGEP_01139","ODDLKH_01543","IKCLMC_00781","PKJKAM_00604","ONMMKP_00996"
"bamE","","Outer membrane protein assembly factor BamE","9","9","1","32","4403","","","","338","338","338","GEGEGB_02772","LNHIMF_02767","BEJGEH_02700","HFCAGB_02912","AJBGEP_02875","ODDLKH_03139","IKCLMC_04113","PKJKAM_02619","ONMMKP_04194"
"Large ribosomal subunit protein uL15","","Large ribosomal subunit protein uL15","9","9","1","32","2958","","","","434","434","434","GEGEGB_04307","LNHIMF_03466","BEJGEH_03444","HFCAGB_03650","AJBGEP_03594","ODDLKH_03858","IKCLMC_00132","PKJKAM_00103","ONMMKP_03410"
"yhbO","","protein/nucleic acid deglycase","9","9","1","32","4669","","","","518","518","518","GEGEGB_03352","LNHIMF_03311","BEJGEH_03286","HFCAGB_03490","AJBGEP_03434","ODDLKH_03699","IKCLMC_03571","PKJKAM_01758","ONMMKP_03563"
"L,D-TPase catalytic domain-containing protein","","L,D-TPase catalytic domain-containing protein","9","9","1","32","1125","","","","740","740","740","GEGEGB_02670","LNHIMF_00338","BEJGEH_00321","HFCAGB_00330","AJBGEP_00331","ODDLKH_00799","IKCLMC_02066","PKJKAM_03423","ONMMKP_01846"
"yohP","","Protein YohP","9","9","1","32","6545","","","","83","83","83","GEGEGB_00727","LNHIMF_02317","BEJGEH_02207","HFCAGB_02438","AJBGEP_02337","ODDLKH_02671","IKCLMC_01810","PKJKAM_03945","ONMMKP_04653"
"Large ribosomal subunit protein uL3","","Large ribosomal subunit protein uL3","9","9","1","32","2939","","","","629","629","629","GEGEGB_04288","LNHIMF_03485","BEJGEH_03463","HFCAGB_03669","AJBGEP_03613","ODDLKH_03877","IKCLMC_00113","PKJKAM_03910","ONMMKP_03391"
"group_5016","osmC","Peroxiredoxin osmC","9","9","1","32","34","","","","431","431","431","GEGEGB_01558","LNHIMF_01622","BEJGEH_01515","HFCAGB_01720","AJBGEP_01649","ODDLKH_02047","IKCLMC_04597","PKJKAM_04608","ONMMKP_00482"
"Small ribosomal subunit protein bS21","","Small ribosomal subunit protein bS21","9","9","1","32","4726","","","","215","215","215","GEGEGB_03284","LNHIMF_03254","BEJGEH_03229","HFCAGB_03433","AJBGEP_03377","ODDLKH_03637","IKCLMC_03633","PKJKAM_01860","ONMMKP_03620"
"dolP","","Outer membrane lipoprotein DolP","9","9","1","32","4671","","","","575","575","575","GEGEGB_03350","LNHIMF_03309","BEJGEH_03284","HFCAGB_03488","AJBGEP_03432","ODDLKH_03697","IKCLMC_03573","PKJKAM_01760","ONMMKP_03565"
"NAD-dependent protein deacylase","","NAD-dependent protein deacylase","9","9","1","32","6162","","","","821","821","821","GEGEGB_01792","LNHIMF_01261","BEJGEH_01872","HFCAGB_02074","AJBGEP_01222","ODDLKH_01626","IKCLMC_00864","PKJKAM_00528","ONMMKP_00913"
"Exodeoxyribonuclease 7 small subunit","","Exodeoxyribonuclease 7 small subunit","9","9","1","32","1262","","","","242","242","242","GEGEGB_02565","LNHIMF_00450","BEJGEH_00432","HFCAGB_00448","AJBGEP_00444","ODDLKH_00910","IKCLMC_02178","PKJKAM_03308","ONMMKP_01730"
"Translation initiation factor IF-1","","Translation initiation factor IF-1","9","9","1","32","1802","","","","218","218","218","GEGEGB_02085","LNHIMF_01041","BEJGEH_00912","HFCAGB_00998","AJBGEP_00946","ODDLKH_01409","IKCLMC_01514","PKJKAM_00976","ONMMKP_01190"
"Acetyltransferase EBL_c10900","","Acetyltransferase EBL_c10900","9","9","1","32","4201","","","","425","425","425","GEGEGB_00445","LNHIMF_02581","BEJGEH_02474","HFCAGB_02719","AJBGEP_02619","ODDLKH_02953","IKCLMC_01326","PKJKAM_02810","ONMMKP_04382"
"Large ribosomal subunit protein uL13","","Large ribosomal subunit protein uL13","9","9","1","32","4590","","","","428","428","428","GEGEGB_03430","LNHIMF_03389","BEJGEH_03367","HFCAGB_03571","AJBGEP_03516","ODDLKH_03779","IKCLMC_03493","PKJKAM_01679","ONMMKP_03487"
"Small ribosomal subunit protein uS2","","Small ribosomal subunit protein uS2","9","9","1","32","3729","","","","725","725","725","GEGEGB_00231","LNHIMF_00225","BEJGEH_00239","HFCAGB_00229","AJBGEP_00229","ODDLKH_00701","IKCLMC_02971","PKJKAM_00690","ONMMKP_01944"
"Tryptophan--tRNA ligase","","Tryptophan--tRNA ligase","9","9","1","32","2889","","","","1004","1004","1004","GEGEGB_04244","LNHIMF_03526","BEJGEH_03507","HFCAGB_03710","AJBGEP_03656","ODDLKH_03918","IKCLMC_02901","PKJKAM_03869","ONMMKP_03350"
"DUF1198 domain-containing protein","","DUF1198 domain-containing protein","9","9","1","32","2554","","","","452","452","452","GEGEGB_03934","LNHIMF_03829","BEJGEH_03832","HFCAGB_04028","AJBGEP_03973","ODDLKH_04232","IKCLMC_02596","PKJKAM_03566","ONMMKP_03047"
"pduJ","","propanediol utilization microcompartment protein PduJ","9","9","1","32","6891","","","","275","275","275","GEGEGB_00878","LNHIMF_02121","BEJGEH_02062","HFCAGB_02302","AJBGEP_02203","ODDLKH_02536","IKCLMC_01957","PKJKAM_04103","ONMMKP_04787"
"DNA-binding protein Fis","","DNA-binding protein Fis","9","9","1","32","4550","","","","296","296","296","GEGEGB_03470","LNHIMF_03429","BEJGEH_03407","HFCAGB_03612","AJBGEP_03557","ODDLKH_03820","IKCLMC_03453","PKJKAM_01639","ONMMKP_03447"
"yiaF","","Uncharacterized protein YiaF","9","9","1","32","2714","","","","710","710","710","GEGEGB_04084","LNHIMF_03679","BEJGEH_03681","HFCAGB_03887","AJBGEP_03831","ODDLKH_04091","IKCLMC_02728","PKJKAM_03704","ONMMKP_03188"
"H-NS-and StpA-binding protein","","H-NS-and StpA-binding protein","9","9","1","32","337","","","","215","215","215","GEGEGB_01403","LNHIMF_01511","BEJGEH_01624","HFCAGB_01816","AJBGEP_01543","ODDLKH_01941","IKCLMC_04700","PKJKAM_00182","ONMMKP_00586"
"iscX","","Protein IscX","9","9","1","32","4298","","","","200","200","200","GEGEGB_00344","LNHIMF_02670","BEJGEH_02568","HFCAGB_02816","AJBGEP_02712","ODDLKH_03043","IKCLMC_01235","PKJKAM_02718","ONMMKP_04290"
"ClpXP protease specificity-enhancing factor","","ClpXP protease specificity-enhancing factor","9","9","1","32","4594","","","","500","500","500","GEGEGB_03426","LNHIMF_03385","BEJGEH_03363","HFCAGB_03567","AJBGEP_03512","ODDLKH_03775","IKCLMC_03497","PKJKAM_01683","ONMMKP_03490"
"DNA-binding protein HU-beta","","DNA-binding protein HU-beta","9","9","1","32","3164","","","","272","272","272","GEGEGB_03639","LNHIMF_04206","BEJGEH_04220","HFCAGB_04418","AJBGEP_04369","ODDLKH_00028","IKCLMC_00231","PKJKAM_00207","ONMMKP_02615"
"Acyl carrier protein","","Acyl carrier protein","9","9","1","32","6135","","","","236","236","236","GEGEGB_01819","LNHIMF_01230","BEJGEH_01897","HFCAGB_02099","AJBGEP_01197","ODDLKH_01601","IKCLMC_00839","PKJKAM_00553","ONMMKP_00938"
"PTS sugar transporter subunit IIC","","PTS sugar transporter subunit IIC","9","9","1","32","2572","","","","749","749","749","GEGEGB_03951","LNHIMF_03810","BEJGEH_03816","HFCAGB_04017","AJBGEP_03957","ODDLKH_04217","IKCLMC_02606","PKJKAM_03582","ONMMKP_03063"
"Flagellar P-ring protein","","Flagellar P-ring protein","9","9","1","32","1988","","","","1097","1097","1097","GEGEGB_01835","LNHIMF_01214","BEJGEH_01912","HFCAGB_02116","AJBGEP_01181","ODDLKH_01585","IKCLMC_00823","PKJKAM_00562","ONMMKP_00954"
"fliO","","Flagellar protein FliO","9","9","1","32","7148","","","","377","377","377","GEGEGB_00964","LNHIMF_02048","BEJGEH_01089","HFCAGB_01238","AJBGEP_02075","ODDLKH_02467","IKCLMC_04162","PKJKAM_04173","ONMMKP_00052"
"Large ribosomal subunit protein uL14","","Large ribosomal subunit protein uL14","9","9","1","32","2949","","","","371","371","371","GEGEGB_04298","LNHIMF_03475","BEJGEH_03453","HFCAGB_03659","AJBGEP_03603","ODDLKH_03867","IKCLMC_00123","PKJKAM_00094","ONMMKP_03401"
"arcA","","Aerobic respiration control protein ArcA","9","9","1","32","5335","","","","716","716","716","GEGEGB_04886","LNHIMF_04651","BEJGEH_04691","HFCAGB_04825","AJBGEP_04802","ODDLKH_00474","IKCLMC_03200","PKJKAM_02104","ONMMKP_02179"
"Bacterial OB-fold domain-containing protein","","Bacterial OB-fold domain-containing protein","9","9","1","32","260","","","","356","392","388","GEGEGB_01509","LNHIMF_01565","BEJGEH_01571","HFCAGB_01762","AJBGEP_01595","ODDLKH_01992","IKCLMC_04646","PKJKAM_04661","ONMMKP_00535"
"Spermidine/putrescine-binding periplasmic protein","","Spermidine/putrescine-binding periplasmic protein","9","9","1","32","6163","","","","1046","1046","1046","GEGEGB_01791","LNHIMF_01262","BEJGEH_01871","HFCAGB_02073","AJBGEP_01223","ODDLKH_01627","IKCLMC_00865","PKJKAM_00527","ONMMKP_00912"
"fabR","","HTH-type transcriptional repressor FabR","9","9","1","32","3127","","","","635","635","635","GEGEGB_03680","LNHIMF_04165","BEJGEH_04178","HFCAGB_04376","AJBGEP_04327","ODDLKH_04577","IKCLMC_00771","PKJKAM_01354","ONMMKP_02656"
"rimM","","Ribosome maturation factor RimM","9","9","1","32","4394","","","","548","548","548","GEGEGB_02763","LNHIMF_02758","BEJGEH_02691","HFCAGB_02903","AJBGEP_02866","ODDLKH_03130","IKCLMC_04122","PKJKAM_02628","ONMMKP_04203"
"Shikimate kinase","","Shikimate kinase","9","9","1","32","2883","","","","521","521","521","GEGEGB_04238","LNHIMF_03532","BEJGEH_03513","HFCAGB_03716","AJBGEP_03662","ODDLKH_03924","IKCLMC_02895","PKJKAM_03863","ONMMKP_03344"
"Pseudouridine synthase","","Pseudouridine synthase","9","9","1","32","7445","","","","875","875","875","GEGEGB_01721","LNHIMF_01787","BEJGEH_01346","HFCAGB_01556","AJBGEP_01811","ODDLKH_02207","IKCLMC_04436","PKJKAM_04445","ONMMKP_00316"
"Inorganic pyrophosphatase","","Inorganic pyrophosphatase","9","9","1","32","5724","","","","530","530","530","GEGEGB_04704","LNHIMF_04501","BEJGEH_04482","HFCAGB_04642","AJBGEP_04612","ODDLKH_00285","IKCLMC_03384","PKJKAM_02285","ONMMKP_02371"
"zapA","","Cell division protein ZapA","9","9","1","32","4892","","","","329","329","329","GEGEGB_03128","LNHIMF_03100","BEJGEH_03069","HFCAGB_03281","AJBGEP_03225","ODDLKH_03487","IKCLMC_03784","PKJKAM_00329","ONMMKP_03787"
"yrbN","","Uncharacterized protein YrbN","9","9","1","32","4657","","","","80","80","80","GEGEGB_03362","LNHIMF_03321","BEJGEH_03298","HFCAGB_03502","AJBGEP_03446","ODDLKH_03711","IKCLMC_03561","PKJKAM_01748","ONMMKP_03553"
